,Cluster_numbers,CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Extra Column 1,Extra Column 2
0,2,0,3,1,,19,15,39
1,2,1,3,2,,21,15,81
2,2,2,3,3,,20,16,6
3,2,3,3,4,,23,16,77
4,2,4,3,5,,31,17,40
5,2,5,3,6,,22,17,76
6,2,6,4,7,,35,18,6
7,2,7,3,8,,23,18,94
8,0,8,1,9,,64,19,3
9,2,9,3,10,,30,19,72
10,0,10,1,11,,67,19,14
11,2,11,3,12,,35,19,99
12,2,12,4,13,,58,20,15
13,2,13,3,14,,24,20,77
14,2,14,1,15,,37,20,13
15,2,15,3,16,,22,20,79
16,2,16,3,17,,35,21,35
17,2,17,3,18,,20,21,66
18,0,18,1,19,,52,23,29
19,2,19,3,20,,35,23,98
20,2,20,3,21,,35,24,35
21,2,21,3,22,,25,24,73
22,2,22,4,23,,46,25,5
23,2,23,3,24,,31,25,73
24,2,24,4,25,,54,28,14
25,2,25,3,26,,29,28,82
26,2,26,4,27,,45,28,32
27,2,27,3,28,,35,28,61
28,2,28,4,29,,40,29,31
29,2,29,3,30,,23,29,87
30,0,30,1,31,,60,30,4
31,2,31,3,32,,21,30,73
32,0,32,1,33,,53,33,4
33,2,33,3,34,,18,33,92
34,2,34,4,35,,49,33,14
35,2,35,3,36,,21,33,81
36,2,36,4,37,,42,34,17
37,2,37,3,38,,30,34,73
38,2,38,4,39,,36,37,26
39,2,39,3,40,,20,37,75
40,0,40,4,41,,65,38,35
41,2,41,3,42,,24,38,92
42,0,42,1,43,,48,39,36
43,2,43,3,44,,31,39,61
44,2,44,4,45,,49,39,28
45,2,45,3,46,,24,39,65
46,2,46,4,47,,50,40,55
47,2,47,3,48,,27,40,47
48,2,48,3,49,,29,40,42
49,2,49,3,50,,31,40,42
50,2,50,4,51,,49,42,52
51,2,51,3,52,,33,42,60
52,2,52,3,53,,31,43,54
53,0,53,1,54,,59,43,60
54,2,54,4,55,,50,43,45
55,0,55,1,56,,47,43,41
56,2,56,4,57,,51,44,50
57,0,57,1,58,,69,44,46
58,2,58,3,59,,27,46,51
59,0,59,1,60,,53,46,46
60,0,60,1,61,,70,46,56
61,1,61,3,62,,19,46,55
62,0,62,4,63,,67,47,52
63,0,63,4,64,,54,47,59
64,0,64,1,65,,63,48,51
65,1,65,3,66,,18,48,59
66,1,66,4,67,,43,48,50
67,0,67,4,68,,68,48,48
68,1,68,3,69,,19,48,59
69,1,69,3,70,,32,48,47
70,0,70,1,71,,70,49,55
71,1,71,4,72,,47,49,42
72,0,72,4,73,,60,50,49
73,0,73,4,74,,60,50,56
74,0,74,1,75,,59,54,47
75,1,75,3,76,,26,54,54
76,1,76,4,77,,45,54,53
77,0,77,1,78,,40,54,48
78,1,78,3,79,,23,54,52
79,1,79,4,80,,49,54,42
80,0,80,1,81,,57,54,51
81,0,81,1,82,,38,54,55
82,0,82,1,83,,67,54,41
83,1,83,4,84,,46,54,44
84,1,84,3,85,,21,54,57
85,0,85,1,86,,48,54,46
86,1,86,4,87,,55,57,58
87,1,87,3,88,,22,57,55
88,1,88,4,89,,34,58,60
89,1,89,4,90,,50,58,46
90,0,90,4,91,,68,59,55
91,1,91,3,92,,18,59,41
92,0,92,1,93,,48,60,49
93,1,93,4,94,,40,60,40
94,1,94,4,95,,32,60,42
95,1,95,3,96,,24,60,52
96,1,96,4,97,,47,60,47
97,1,97,3,98,,27,60,50
98,0,98,1,99,,48,61,42
99,1,99,3,100,,20,61,49
100,1,100,3,101,,23,62,41
101,1,101,4,102,,49,62,48
102,0,102,1,103,,67,62,59
103,1,103,3,104,,26,62,55
104,0,104,1,105,,49,62,56
105,1,105,3,106,,21,62,42
106,0,106,4,107,,66,63,50
107,0,107,1,108,,54,63,46
108,0,108,1,109,,68,63,43
109,0,109,1,110,,66,63,48
110,0,110,1,111,,65,63,52
111,1,111,3,112,,19,63,54
112,1,112,4,113,,38,64,42
113,1,113,3,114,,19,64,46
114,1,114,3,115,,18,65,48
115,1,115,3,116,,19,65,50
116,0,116,4,117,,63,65,43
117,1,117,4,118,,49,65,59
118,1,118,4,119,,51,67,43
119,1,119,4,120,,50,67,57
120,1,120,2,121,,27,67,56
121,1,121,4,122,,38,67,40
122,1,122,4,123,,40,69,58
123,4,123,2,124,,39,69,91
124,3,124,0,125,,23,70,29
125,4,125,2,126,,31,70,77
126,3,126,0,127,,43,71,35
127,4,127,2,128,,40,71,95
128,3,128,1,129,,59,71,11
129,4,129,2,130,,38,71,75
130,3,130,0,131,,47,71,9
131,4,131,2,132,,39,71,75
132,3,132,0,133,,25,72,34
133,4,133,2,134,,31,72,71
134,3,134,0,135,,20,73,5
135,4,135,2,136,,29,73,88
136,3,136,0,137,,44,73,7
137,4,137,2,138,,32,73,73
138,3,138,0,139,,19,74,10
139,4,139,2,140,,35,74,72
140,3,140,0,141,,57,75,5
141,4,141,2,142,,32,75,93
142,3,142,0,143,,28,76,40
143,4,143,2,144,,32,76,87
144,3,144,0,145,,25,77,12
145,4,145,2,146,,28,77,97
146,3,146,0,147,,48,77,36
147,4,147,2,148,,32,77,74
148,3,148,0,149,,34,78,22
149,4,149,2,150,,34,78,90
150,3,150,0,151,,43,78,17
151,4,151,2,152,,39,78,88
152,3,152,0,153,,44,78,20
153,4,153,2,154,,38,78,76
154,3,154,0,155,,47,78,16
155,4,155,2,156,,27,78,89
156,3,156,0,157,,37,78,1
157,4,157,2,158,,30,78,78
158,3,158,0,159,,34,78,1
159,4,159,2,160,,30,78,73
160,3,160,0,161,,56,79,35
161,4,161,2,162,,29,79,83
162,3,162,0,163,,19,81,5
163,4,163,2,164,,31,81,93
164,3,164,0,165,,50,85,26
165,4,165,2,166,,36,85,75
166,3,166,0,167,,42,86,20
167,4,167,2,168,,33,86,95
168,3,168,0,169,,36,87,27
169,4,169,2,170,,32,87,63
170,3,170,0,171,,40,87,13
171,4,171,2,172,,28,87,75
172,3,172,0,173,,36,87,10
173,4,173,2,174,,36,87,92
174,3,174,0,175,,52,88,13
175,4,175,2,176,,30,88,86
176,3,176,0,177,,58,88,15
177,4,177,2,178,,27,88,69
178,3,178,0,179,,59,93,14
179,4,179,2,180,,35,93,90
180,3,180,0,181,,37,97,32
181,4,181,2,182,,32,97,86
182,3,182,0,183,,46,98,15
183,4,183,2,184,,29,98,88
184,3,184,0,185,,41,99,39
185,4,185,2,186,,30,99,97
186,3,186,0,187,,54,101,24
187,4,187,2,188,,28,101,68
188,3,188,0,189,,41,103,17
189,4,189,2,190,,36,103,85
190,3,190,0,191,,34,103,23
191,4,191,2,192,,32,103,69
192,3,192,0,193,,33,113,8
193,4,193,2,194,,38,113,91
194,3,194,0,195,,47,120,16
